code,date,start,end,room,type,title,speakers,topics,level,url,abstract
5034,2026-09-14,13:00,17:00,"Venetian, Hall G Foyer, level 1",Activity,AU Merch Store,,,,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1783353809099001iAkK,"Take AU Home With You.

Visit the all-new AU Merch Store for exclusive Autodesk apparel, premium swag, and limited-edition AU collectibles. Celebrate the ideas, innovations, and connections that brought us together and grab a piece of the experience before it's gone.

Designed for the builders, makers, innovators, and visionaries shaping tomorrow."
5001,2026-09-15,06:00,08:00,"Venetian, Hall G, level 1",Meal,Breakfast,,,,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1783353804660001iJth,Grab coffee and a bite to eat to fuel your first day at AU.
AS1166-D,2026-09-15,06:00,07:00,Digital C,Technical Deep Dive,Stop Sharing Screens – Start Sharing Space: Practical XR for Model Coordination,"Joseph Huang, Principal, Architect, BIM Design Team Lead, Stantec | Raghavendra Bhat, Principal, Sr. BIM Integration Specialist, Stantec",Buildings | Forma Data Management Essentials | Navisworks Manage | Pype | Revit Cloud Worksharing | AECO | XR,,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1783105088859001PK7W,"Immersive technologies are often promoted as the future of model coordination, yet most teams remain stuck in screen sharing and pilot demos. This session challenges that pattern, presenting a practical playbook for using shared immersive space as a deliberate coordination tool rather than a novelty. Through real project scenarios, it shows when XR enables faster understanding and better decisions, when desktop review works better, and how to structure immersive meetings so technical and non-technical stakeholders collaborate effectively. Hardware, visualization, and platforms matter – but only when paired with clear intent, facilitation, and decision focused workflows."
AS1569-D,2026-09-15,06:00,07:00,Digital AO,Technical Deep Dive,Multi-AI-Agent BIM Orchestration: Building Autonomous Query. Check. Fix Loops for Revit.,"Phuc Le, Account Technical Lead, Autodesk",Architecture services | Revit | AECO | Autodesk Platform Services (APS),,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1783105094052001PAES,"What if your Revit model could check itself—and fix what it finds—autonomously? This session will introduce a multi-agent system where specialized AI agents collaborate in a loop: a Query agent will read model data via Model Context Protocol (MCP), a QC agent will check it against configurable standards, and a Design agent will propose corrections - each previewed, human-approved, and audited before any write. The cycle will repeat until the model passes. We’ll demo three live scenarios: Naming Convention Fix, Parameter Completeness, and Geometry Checking - built with Revit MCP Server, Forma MCP, Python, LangGraph, and configurable YAML rules. We'll also cover transaction management, convergence control, and the points where human oversight remains essential."
AS1983-D,2026-09-15,06:00,07:00,Digital D,Technical Deep Dive,From Massing to Metrics: Integrating Autodesk Forma and Autodesk Forma Carbon Insights for Outcome-Based Design,"Jessica Carson, Architect, GHD Design | Isaac McCormack, Architect, GHD Design | Michael from Chile Sturm, Principal Implementation Consultant, Autodesk",Architecture services | Forma | Insight | Revit | AECO | MEP Engineering & Fabrication,,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1783105104668001PXiN,"Around 80% of a building’s environmental impact is determined in the first 20% of design, yet this phase often relies on intuition rather than data. This presentation will introduce GHD’s outcome-based workflow that embeds predictive AI and cloud simulation into early design, providing carbon insights when decisions matter. Autodesk Forma (formerly Autodesk Construction Cloud) enables real-time evaluation of wind, thermal comfort, and early embodied carbon from simple massing models. As designs progress, Autodesk Forma Carbon Insights (formerly Autodesk Insight) calculates energy-use intensity and examines trade-offs between operational and embodied carbon. The result is an iterative, data-driven approach that integrates carbon performance into design and enables credible sustainability narratives from project inception."
AS2183-D,2026-09-15,06:00,07:00,Digital AR,Technical Deep Dive,Using MCP to Build Self-Improving AEC Data Workflows,"Nabil Sadeg, CTO, Nacorm",Architecture services | Autodesk Platform Services | Revit | AECO | Software Development,,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1783105108546001Pspe,"Most architecture, engineering, and construction (AEC) data stays raw because processing it manually does not scale. This session will demonstrate a working pipeline where AI classifies documents, extracts structured information, enriches records, and validates outputs at every stage. Model Context Protocol (MCP) connects AI agents to Revit, Autodesk Platform Services, and Autodesk Forma (formerly Autodesk Construction Cloud), letting them read and write connected data across tools in a single workflow. A live walk-through of a real pipeline used on AEC projects will show how feedback loops capture user corrections so results improve with every iteration. You will leave with a reusable architecture pattern you can adapt to your own challenges, from tender analysis to intelligent models to construction submittals."
AS2196-D,2026-09-15,06:00,07:00,Digital CD,Technical Deep Dive,The Superb Guide to Easy Revit Rides On!,"Rina Sahay, BIM Lead, Wade Trim",Architecture services | AutoCAD | Civil 3D | Docs | Inventor | AECO | Community & Expert Elites,,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1783105109670001P04Y,"The award-winning Superb Team continues with enhanced insights into the ever-expanding world of Revit software and its friends. Our lively conversation spiced with weird, wild, witty, and wonderful war stories will energize you with the latest and greatest developments in Revit 2027 and Autodesk Forma industry cloud. Discover wild and wonderful things to do with Revit using native tools or third-party software for reality capture, visualization, and AR/XR. Use interoperability with add-ins and other authoring and visualization software. Get a glimpse of the future with innovative use cases using AI. Discover more ways and means to enhance productivity. Join us for wise and fun pointers on how to be a fearlessly productive Revit Warrior."
AS2561-D,2026-09-15,06:00,07:00,Digital CF,Technical Deep Dive,Rendering Reality: The Rise of Gaussian Splats,"Logan Foster, Product Owner, Autodesk",Architecture services | 3ds Max 2 | AECO | Media & Entertainment,,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1783105117526001PDyE,"Join industry experts from design visualization and VFX as they explore how Gaussian Splats and solutions from Autodesk Interactive Media & Entertainment are transforming digital workflows. Learn what these techniques are, how they enable highly accurate digital twins and immersive world building, and where they fit in real-world production pipelines. Through examples and firsthand insights, speakers will share what excites them about this approach—along with the practical pros, cons, and challenges of adopting it."
AS2698-D,2026-09-15,06:00,06:30,Digital CG,Technical Deep Dive,MCP on Autodesk Platform: Three Production Servers Across the Full Stack,"Jose Baquero, Senior Consultant MGF - AI Solutions, Avant Leap | Enrique Galicia Tovar, Director of Innovations and AI, AvantLeap",Architecture services | Autodesk Platform Services | Dynamo | Revit | AECO | Software Development,,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1783105119743001P1b4,"Model Context Protocol (MCP) is the layer that lets AI agents access Autodesk tools, data, and APIs through a standardized interface. The firms building this infrastructure today will define the standard—not just use it. This session will go deep on three production MCP servers: revitDeploymentMCP (CI/CD pipeline as four AI-callable tools), a Dynamo MCP server (exposing Dynamo scripts for AI orchestration), and an Autodesk Platform Services Data Pipeline server (chaining the Model Derivative API, the Data Management API, and the Design Automation API without auth failures or silent webhook drops). Each server is examined at the architecture, implementation, and deployment levels. You’ll receive complete implementation patterns for all three."
AS2841-D,2026-09-15,06:00,07:00,Digital AS,Technical Deep Dive,Forma to Energy: AI-Powered Workflows for Carbon Insight,"Tetsuya Hishida, Principal Product Owner, Autodesk | Daniel Stine, Director of Design Technology, Lake Flato | Chris Balbach, Director of R&D, Performance Systems Development of NY, LLC",Architecture services | Forma | Insight | Revit | AECO | MEP Engineering & Fabrication,,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1783105123006001PT79,"Energy and carbon analysis often arrives too late—after key decisions have been made. Despite tools like Autodesk Forma, Revit, and Insight software, most teams rely on manual, disconnected workflows that limit iteration. This session will introduce a connected, data-driven approach. By embedding performance data in BIM and using AI to generate simulation logic, teams can automatically produce carbon and energy analyses—earlier, more frequently, and without deep simulation expertise. Through a live demo, you’ll see design data flow from Autodesk Forma through Revit into automated workflows and into Insight for actionable results. Attend this class to learn how to replace one-off analysis with scalable, repeatable carbon workflows."
